workload_id,timestamp_s,workload_class,priority,cpu_request,memory_request_gb,network_request_mbps,storage_request_gb,estimated_duration_s,latency_budget_ms,energy_sensitivity,edge_locality,semantic_description,stress_regime
workload-000000,38.99082,TC,3,5.1551,18.3142,239.5292,8.5259,3.05218,317.0351,0.7631,0.1407,throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=5.16; memory_gb=18.31; latency_budget_ms=317.0; energy_sensitivity=0.76; edge_locality=0.14,normal
workload-000011,180.95165,HB,2,1.0929,10.3239,273.733,1.4291,1.27588,123.1711,0.546,0.7184,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=1.09; memory_gb=10.32; latency_budget_ms=123.2; energy_sensitivity=0.55; edge_locality=0.72,normal
workload-000012,259.05444,HB,2,4.7779,5.3143,282.7337,5.6928,2.03863,197.0649,0.7384,0.4335,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=4.78; memory_gb=5.31; latency_budget_ms=197.1; energy_sensitivity=0.74; edge_locality=0.43,normal
workload-000013,278.59938,LS,2,2.0317,4.5778,425.8126,0.8539,0.32241,44.1053,0.5899,0.8977,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.03; memory_gb=4.58; latency_budget_ms=44.1; energy_sensitivity=0.59; edge_locality=0.90,normal
workload-000014,290.54371,TC,2,6.5309,6.4461,407.1721,11.2393,2.58749,320.3846,0.793,0.1531,throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=6.53; memory_gb=6.45; latency_budget_ms=320.4; energy_sensitivity=0.79; edge_locality=0.15,normal
workload-000015,315.34722,HB,2,4.5545,8.4213,728.2698,3.8923,2.25039,226.3682,0.8226,0.3429,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=4.55; memory_gb=8.42; latency_budget_ms=226.4; energy_sensitivity=0.82; edge_locality=0.34,normal
workload-000016,318.22273,HB,2,1.6084,10.654,714.401,4.5095,1.95355,120.7832,0.753,0.2772,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=1.61; memory_gb=10.65; latency_budget_ms=120.8; energy_sensitivity=0.75; edge_locality=0.28,normal
workload-000017,319.80469,TX,1,0.8743,6.9111,327.5039,1.6204,0.42823,108.0952,0.481,0.3421,transactional service requiring stable latency and low jitter; priority=1; regime=normal; cpu=0.87; memory_gb=6.91; latency_budget_ms=108.1; energy_sensitivity=0.48; edge_locality=0.34,normal
workload-000018,323.94118,TC,1,2.8698,9.4129,590.6856,8.8918,1.28043,328.9219,0.8406,0.2169,throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=normal; cpu=2.87; memory_gb=9.41; latency_budget_ms=328.9; energy_sensitivity=0.84; edge_locality=0.22,normal
workload-000019,330.4993,TX,1,1.736,6.0342,391.0049,0.7493,0.63419,106.5059,0.2309,0.2895,transactional service requiring stable latency and low jitter; priority=1; regime=normal; cpu=1.74; memory_gb=6.03; latency_budget_ms=106.5; energy_sensitivity=0.23; edge_locality=0.29,normal
workload-000020,351.28749,HB,1,2.8483,4.3302,250.7135,9.496,0.50335,146.7136,0.7024,0.4409,hybrid microservice chain with variable compute and latency demand; priority=1; regime=normal; cpu=2.85; memory_gb=4.33; latency_budget_ms=146.7; energy_sensitivity=0.70; edge_locality=0.44,normal
workload-000021,362.77935,LS,3,2.6777,2.4894,392.5229,0.5807,0.43844,55.6578,0.4394,0.8245,latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=normal; cpu=2.68; memory_gb=2.49; latency_budget_ms=55.7; energy_sensitivity=0.44; edge_locality=0.82,normal
workload-000022,369.78344,LS,1,2.9873,3.6747,150.5365,1.4455,0.40311,57.4936,0.5295,0.8706,latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=2.99; memory_gb=3.67; latency_budget_ms=57.5; energy_sensitivity=0.53; edge_locality=0.87,normal
workload-000023,450.26266,TC,3,7.9263,7.7704,132.1672,16.5988,1.57696,285.692,0.7127,0.0797,throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=7.93; memory_gb=7.77; latency_budget_ms=285.7; energy_sensitivity=0.71; edge_locality=0.08,normal
workload-000024,451.99126,LS,2,2.8993,1.7329,148.3365,0.4394,0.1499,54.0854,0.4453,0.8699,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.90; memory_gb=1.73; latency_budget_ms=54.1; energy_sensitivity=0.45; edge_locality=0.87,normal
workload-000025,462.24988,TX,2,2.7026,4.4781,193.6611,0.8714,0.61984,81.5038,0.2709,0.3242,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=2.70; memory_gb=4.48; latency_budget_ms=81.5; energy_sensitivity=0.27; edge_locality=0.32,normal
workload-000026,468.04514,TC,2,4.4079,11.8223,850.874,8.8197,3.5893,273.63,0.8446,0.3161,throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=4.41; memory_gb=11.82; latency_budget_ms=273.6; energy_sensitivity=0.84; edge_locality=0.32,normal
workload-000027,471.86805,HB,2,2.1039,13.3256,385.9134,4.9885,1.11346,170.9886,0.3745,0.2024,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=2.10; memory_gb=13.33; latency_budget_ms=171.0; energy_sensitivity=0.37; edge_locality=0.20,normal
workload-000028,491.61398,HB,1,3.8299,7.6731,243.8747,6.8962,1.31573,161.638,0.7363,0.676,hybrid microservice chain with variable compute and latency demand; priority=1; regime=normal; cpu=3.83; memory_gb=7.67; latency_budget_ms=161.6; energy_sensitivity=0.74; edge_locality=0.68,normal
workload-000029,501.19463,TX,3,2.882,6.668,169.7714,1.6746,0.68457,83.2077,0.4662,0.3074,transactional service requiring stable latency and low jitter; priority=3; regime=normal; cpu=2.88; memory_gb=6.67; latency_budget_ms=83.2; energy_sensitivity=0.47; edge_locality=0.31,normal
workload-000030,525.87665,LS,3,2.2032,1.0569,501.722,0.4361,0.44148,44.3976,0.5376,0.9505,latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=normal; cpu=2.20; memory_gb=1.06; latency_budget_ms=44.4; energy_sensitivity=0.54; edge_locality=0.95,normal
workload-000031,528.69457,TC,1,3.5579,6.7847,490.5689,12.9267,2.75035,266.1708,0.8906,0.102,throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=normal; cpu=3.56; memory_gb=6.78; latency_budget_ms=266.2; energy_sensitivity=0.89; edge_locality=0.10,normal
workload-000032,574.73451,TC,2,6.0422,5.5094,477.8474,3.7831,3.67091,249.953,0.8389,0.3014,throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=6.04; memory_gb=5.51; latency_budget_ms=250.0; energy_sensitivity=0.84; edge_locality=0.30,normal
workload-000033,577.70514,TX,3,2.7939,5.2778,292.5722,1.5807,0.29612,100.283,0.3674,0.4535,transactional service requiring stable latency and low jitter; priority=3; regime=normal; cpu=2.79; memory_gb=5.28; latency_budget_ms=100.3; energy_sensitivity=0.37; edge_locality=0.45,normal
workload-000034,704.49623,TX,1,2.5363,1.2819,424.9133,1.0224,0.20917,93.7054,0.4066,0.5024,transactional service requiring stable latency and low jitter; priority=1; regime=normal; cpu=2.54; memory_gb=1.28; latency_budget_ms=93.7; energy_sensitivity=0.41; edge_locality=0.50,normal
workload-000035,711.67925,HB,2,4.7395,8.5562,540.1493,2.9346,1.54244,218.0318,0.7002,0.7904,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=4.74; memory_gb=8.56; latency_budget_ms=218.0; energy_sensitivity=0.70; edge_locality=0.79,normal
workload-000036,722.51631,TC,3,3.9466,14.3466,760.83,2.6982,3.42839,337.9741,0.9996,0.2043,throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=3.95; memory_gb=14.35; latency_budget_ms=338.0; energy_sensitivity=1.00; edge_locality=0.20,normal
workload-000037,724.38451,TX,2,1.1179,3.7896,61.2474,1.5376,0.57488,94.9416,0.371,0.3203,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=1.12; memory_gb=3.79; latency_budget_ms=94.9; energy_sensitivity=0.37; edge_locality=0.32,normal
workload-000038,730.3376,LS,2,1.521,4.4469,474.2762,0.8449,0.35266,42.32,0.6272,0.7521,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=1.52; memory_gb=4.45; latency_budget_ms=42.3; energy_sensitivity=0.63; edge_locality=0.75,normal
workload-000039,737.27927,TC,3,5.8167,12.3476,382.808,7.6285,1.84587,309.9134,0.7313,0.0206,throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=5.82; memory_gb=12.35; latency_budget_ms=309.9; energy_sensitivity=0.73; edge_locality=0.02,normal
workload-000040,740.91552,LS,3,0.8443,1.4641,152.4473,0.5028,0.16266,47.4542,0.4464,0.7881,latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=normal; cpu=0.84; memory_gb=1.46; latency_budget_ms=47.5; energy_sensitivity=0.45; edge_locality=0.79,normal
workload-000041,796.71308,HB,3,2.0979,4.2963,273.7326,7.0694,1.141,167.1071,0.7505,0.3945,hybrid microservice chain with variable compute and latency demand; priority=3; regime=normal; cpu=2.10; memory_gb=4.30; latency_budget_ms=167.1; energy_sensitivity=0.75; edge_locality=0.39,normal
workload-000042,798.41637,HB,2,5.2441,9.0538,421.1827,4.2517,1.13001,113.41,0.5049,0.2693,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=5.24; memory_gb=9.05; latency_budget_ms=113.4; energy_sensitivity=0.50; edge_locality=0.27,normal
workload-000043,804.06409,TX,3,1.0705,2.3399,169.0779,1.5348,0.19711,113.3656,0.2318,0.3263,transactional service requiring stable latency and low jitter; priority=3; regime=normal; cpu=1.07; memory_gb=2.34; latency_budget_ms=113.4; energy_sensitivity=0.23; edge_locality=0.33,normal
workload-000044,828.81142,TC,1,7.7034,14.2936,770.7936,7.4688,2.92555,306.7098,0.9199,0.1954,throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=normal; cpu=7.70; memory_gb=14.29; latency_budget_ms=306.7; energy_sensitivity=0.92; edge_locality=0.20,normal
workload-000045,855.9566,TX,2,1.6708,6.6627,314.4617,0.5178,0.5819,95.3488,0.2652,0.6617,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=1.67; memory_gb=6.66; latency_budget_ms=95.3; energy_sensitivity=0.27; edge_locality=0.66,normal
workload-000046,875.72023,TX,2,2.2698,2.003,273.4248,1.7191,0.49861,104.6403,0.2017,0.4599,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=2.27; memory_gb=2.00; latency_budget_ms=104.6; energy_sensitivity=0.20; edge_locality=0.46,normal
workload-000047,877.2494,HB,2,5.5185,5.2506,237.27,5.2996,0.87541,197.8046,0.5284,0.2829,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=5.52; memory_gb=5.25; latency_budget_ms=197.8; energy_sensitivity=0.53; edge_locality=0.28,normal
workload-000048,900.69229,TC,3,7.7126,18.6098,643.3604,2.2323,2.8983,317.1944,0.9545,0.0234,throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=7.71; memory_gb=18.61; latency_budget_ms=317.2; energy_sensitivity=0.95; edge_locality=0.02,normal
workload-000049,938.24443,TC,2,3.2836,13.6144,417.4413,13.0267,2.23587,222.4815,0.7361,0.1766,throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=3.28; memory_gb=13.61; latency_budget_ms=222.5; energy_sensitivity=0.74; edge_locality=0.18,normal
workload-000050,952.76974,HB,2,5.5954,8.4627,502.6155,1.3656,0.79177,238.6461,0.5157,0.5794,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=5.60; memory_gb=8.46; latency_budget_ms=238.6; energy_sensitivity=0.52; edge_locality=0.58,normal
workload-000051,956.67612,TC,1,2.4461,17.0934,805.8693,4.1095,1.83934,263.9744,0.9183,0.0816,throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=normal; cpu=2.45; memory_gb=17.09; latency_budget_ms=264.0; energy_sensitivity=0.92; edge_locality=0.08,normal
workload-000052,958.39353,LS,1,1.8774,0.835,520.2108,1.2052,0.30946,48.6147,0.4585,0.7538,latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=1.88; memory_gb=0.83; latency_budget_ms=48.6; energy_sensitivity=0.46; edge_locality=0.75,normal
workload-000053,964.28457,LS,2,0.7224,3.2088,182.6779,0.4905,0.31186,39.2753,0.46,0.949,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=0.72; memory_gb=3.21; latency_budget_ms=39.3; energy_sensitivity=0.46; edge_locality=0.95,normal
workload-000054,965.94936,TX,2,1.8644,2.2132,365.5788,1.6184,0.60177,116.9588,0.3793,0.3281,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=1.86; memory_gb=2.21; latency_budget_ms=117.0; energy_sensitivity=0.38; edge_locality=0.33,normal
workload-000055,981.47319,LS,3,2.8427,1.0267,425.6756,1.2621,0.23865,36.4194,0.641,0.8822,latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=normal; cpu=2.84; memory_gb=1.03; latency_budget_ms=36.4; energy_sensitivity=0.64; edge_locality=0.88,normal
workload-000056,1003.64879,HB,1,5.0564,7.2837,618.6234,4.3701,0.37629,236.0657,0.5571,0.7951,hybrid microservice chain with variable compute and latency demand; priority=1; regime=normal; cpu=5.06; memory_gb=7.28; latency_budget_ms=236.1; energy_sensitivity=0.56; edge_locality=0.80,normal
workload-000057,1022.33225,HB,3,5.0234,6.4436,180.826,3.9709,1.95972,244.8155,0.3945,0.705,hybrid microservice chain with variable compute and latency demand; priority=3; regime=normal; cpu=5.02; memory_gb=6.44; latency_budget_ms=244.8; energy_sensitivity=0.39; edge_locality=0.71,normal
workload-000058,1022.70362,HB,2,3.1828,5.2353,578.6046,3.9509,0.47584,198.5175,0.43,0.4565,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=3.18; memory_gb=5.24; latency_budget_ms=198.5; energy_sensitivity=0.43; edge_locality=0.46,normal
workload-000059,1076.18666,LS,1,2.8129,2.1699,285.3977,1.1346,0.30459,56.4179,0.5822,0.9975,latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=2.81; memory_gb=2.17; latency_budget_ms=56.4; energy_sensitivity=0.58; edge_locality=1.00,normal
workload-000060,1096.19862,LS,2,2.4454,1.7706,366.6252,1.4238,0.30614,40.0987,0.4403,0.8728,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.45; memory_gb=1.77; latency_budget_ms=40.1; energy_sensitivity=0.44; edge_locality=0.87,normal
workload-000061,1101.41058,LS,1,0.8749,1.3717,203.0277,1.1782,0.08001,52.7013,0.5516,0.8699,latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=0.87; memory_gb=1.37; latency_budget_ms=52.7; energy_sensitivity=0.55; edge_locality=0.87,normal
workload-000062,1101.41873,LS,2,2.738,3.2523,422.8121,0.6969,0.26707,55.2049,0.5899,0.9616,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.74; memory_gb=3.25; latency_budget_ms=55.2; energy_sensitivity=0.59; edge_locality=0.96,normal
workload-000063,1119.71032,TC,2,4.2301,11.0701,689.1924,5.7574,1.37607,337.8709,0.992,0.2812,throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=4.23; memory_gb=11.07; latency_budget_ms=337.9; energy_sensitivity=0.99; edge_locality=0.28,normal
workload-000064,1120.04213,TX,1,1.5133,3.2751,79.8817,2.4055,0.26213,124.4339,0.3391,0.4878,transactional service requiring stable latency and low jitter; priority=1; regime=normal; cpu=1.51; memory_gb=3.28; latency_budget_ms=124.4; energy_sensitivity=0.34; edge_locality=0.49,normal
workload-000065,1175.65532,TX,2,0.654,5.6904,396.9771,2.7878,0.38481,87.7588,0.2316,0.5198,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=0.65; memory_gb=5.69; latency_budget_ms=87.8; energy_sensitivity=0.23; edge_locality=0.52,normal
workload-000066,1188.87606,LS,2,0.5356,3.43,521.3973,1.3119,0.15942,54.3167,0.4228,0.8325,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=0.54; memory_gb=3.43; latency_budget_ms=54.3; energy_sensitivity=0.42; edge_locality=0.83,normal
workload-000067,1193.16473,HB,2,3.6118,4.2751,146.7576,7.3994,1.21531,189.0181,0.7222,0.6028,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=3.61; memory_gb=4.28; latency_budget_ms=189.0; energy_sensitivity=0.72; edge_locality=0.60,normal
workload-000068,1203.11166,LS,1,0.9856,3.4228,224.9916,0.5711,0.28476,59.2057,0.6259,0.904,latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=0.99; memory_gb=3.42; latency_budget_ms=59.2; energy_sensitivity=0.63; edge_locality=0.90,normal
workload-000069,1215.3573,TX,2,2.4097,2.3492,293.602,3.3124,0.23302,112.6937,0.3016,0.2953,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=2.41; memory_gb=2.35; latency_budget_ms=112.7; energy_sensitivity=0.30; edge_locality=0.30,normal
workload-000070,1256.6744,TC,1,5.5416,9.3331,391.0951,4.4802,3.64189,323.656,0.9974,0.1391,throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=normal; cpu=5.54; memory_gb=9.33; latency_budget_ms=323.7; energy_sensitivity=1.00; edge_locality=0.14,normal
workload-000071,1268.06197,TX,2,3.033,2.1189,414.8352,0.2472,0.13239,76.6809,0.4262,0.5972,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=3.03; memory_gb=2.12; latency_budget_ms=76.7; energy_sensitivity=0.43; edge_locality=0.60,normal
workload-000072,1316.9918,LS,1,1.5455,2.9216,564.463,0.7967,0.28211,35.6,0.5037,0.986,latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=1.55; memory_gb=2.92; latency_budget_ms=35.6; energy_sensitivity=0.50; edge_locality=0.99,normal
workload-000073,1334.00716,HB,2,5.0813,4.106,703.1864,8.1037,1.6928,84.8742,0.4994,0.8202,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=5.08; memory_gb=4.11; latency_budget_ms=84.9; energy_sensitivity=0.50; edge_locality=0.82,normal
workload-000074,1335.95725,HB,2,2.4282,12.4991,166.0099,1.4513,2.16084,229.0578,0.4266,0.8217,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=2.43; memory_gb=12.50; latency_budget_ms=229.1; energy_sensitivity=0.43; edge_locality=0.82,normal
workload-000075,1365.11191,TX,2,1.2381,3.8389,211.7414,3.4057,0.69721,96.2383,0.2183,0.4984,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=1.24; memory_gb=3.84; latency_budget_ms=96.2; energy_sensitivity=0.22; edge_locality=0.50,normal
workload-000076,1374.04462,TX,1,3.4733,6.6789,410.7139,3.0385,0.17662,105.5939,0.4147,0.5036,transactional service requiring stable latency and low jitter; priority=1; regime=normal; cpu=3.47; memory_gb=6.68; latency_budget_ms=105.6; energy_sensitivity=0.41; edge_locality=0.50,normal
workload-000077,1387.23887,TC,1,2.7128,11.5626,807.155,6.2722,3.96298,253.5644,0.9477,0.0419,throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=normal; cpu=2.71; memory_gb=11.56; latency_budget_ms=253.6; energy_sensitivity=0.95; edge_locality=0.04,normal
workload-000078,1390.73853,LS,2,0.617,1.9263,533.7118,0.3824,0.12199,55.0545,0.601,0.9382,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=0.62; memory_gb=1.93; latency_budget_ms=55.1; energy_sensitivity=0.60; edge_locality=0.94,normal
workload-000079,1429.70604,HB,2,4.2435,7.5993,641.1538,4.6587,1.16332,234.9889,0.5163,0.559,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=4.24; memory_gb=7.60; latency_budget_ms=235.0; energy_sensitivity=0.52; edge_locality=0.56,normal
workload-000080,1439.39097,LS,2,2.941,2.3996,141.246,1.5061,0.17798,39.3553,0.5646,0.8455,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.94; memory_gb=2.40; latency_budget_ms=39.4; energy_sensitivity=0.56; edge_locality=0.85,normal
workload-000081,1445.67377,LS,2,2.3889,2.6627,346.3571,1.201,0.12339,42.0144,0.4356,0.9266,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.39; memory_gb=2.66; latency_budget_ms=42.0; energy_sensitivity=0.44; edge_locality=0.93,normal
workload-000082,1474.87483,HB,1,4.176,4.5421,491.0083,5.0454,0.53768,145.3051,0.8903,0.6852,hybrid microservice chain with variable compute and latency demand; priority=1; regime=normal; cpu=4.18; memory_gb=4.54; latency_budget_ms=145.3; energy_sensitivity=0.89; edge_locality=0.69,normal
workload-000083,1501.23294,LS,2,0.6508,3.5855,141.7371,1.8666,0.24361,47.4243,0.6325,0.8729,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=0.65; memory_gb=3.59; latency_budget_ms=47.4; energy_sensitivity=0.63; edge_locality=0.87,normal
workload-000084,1504.62009,LS,3,0.8249,1.6604,93.6357,1.2754,0.37894,53.2343,0.5616,0.8623,latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=normal; cpu=0.82; memory_gb=1.66; latency_budget_ms=53.2; energy_sensitivity=0.56; edge_locality=0.86,normal
workload-000085,1518.23554,HB,2,5.7764,13.4692,682.0751,2.8713,1.67302,107.181,0.5407,0.2317,hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=5.78; memory_gb=13.47; latency_budget_ms=107.2; energy_sensitivity=0.54; edge_locality=0.23,normal
workload-000086,1519.15486,TX,3,0.8929,4.8032,222.6156,0.6299,0.23547,111.5063,0.4642,0.5751,transactional service requiring stable latency and low jitter; priority=3; regime=normal; cpu=0.89; memory_gb=4.80; latency_budget_ms=111.5; energy_sensitivity=0.46; edge_locality=0.58,normal
workload-000087,1526.86729,TX,2,1.5444,4.1984,94.1627,1.7881,0.49983,75.727,0.2782,0.4447,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=1.54; memory_gb=4.20; latency_budget_ms=75.7; energy_sensitivity=0.28; edge_locality=0.44,normal
workload-000088,1555.68177,HB,1,3.1461,4.4643,240.6598,8.9454,2.35434,179.2798,0.4901,0.72,hybrid microservice chain with variable compute and latency demand; priority=1; regime=normal; cpu=3.15; memory_gb=4.46; latency_budget_ms=179.3; energy_sensitivity=0.49; edge_locality=0.72,normal
workload-000089,1563.49106,TX,2,2.9845,2.0262,195.1255,1.77,0.32445,80.5932,0.4384,0.4685,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=2.98; memory_gb=2.03; latency_budget_ms=80.6; energy_sensitivity=0.44; edge_locality=0.47,normal
workload-000090,1565.01411,TC,1,4.0166,13.4183,357.5042,4.0092,3.19636,272.0828,0.7253,0.0818,throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=normal; cpu=4.02; memory_gb=13.42; latency_budget_ms=272.1; energy_sensitivity=0.73; edge_locality=0.08,normal
workload-000091,1565.30655,HB,3,3.0686,10.2743,80.4961,8.7592,1.02817,253.5385,0.3505,0.3614,hybrid microservice chain with variable compute and latency demand; priority=3; regime=normal; cpu=3.07; memory_gb=10.27; latency_budget_ms=253.5; energy_sensitivity=0.35; edge_locality=0.36,normal
workload-000092,1575.02564,TC,2,5.887,12.5505,107.1,10.8315,3.30501,334.9592,0.8832,0.1517,throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=5.89; memory_gb=12.55; latency_budget_ms=335.0; energy_sensitivity=0.88; edge_locality=0.15,normal
workload-000093,1595.57354,TC,2,3.6436,19.3978,292.2776,6.4377,2.95889,287.6414,0.8875,0.2582,throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=3.64; memory_gb=19.40; latency_budget_ms=287.6; energy_sensitivity=0.89; edge_locality=0.26,normal
